State,Crop,Soil_Type,Temperature,Humidity,Rainfall,Soil_Moisture,Water_Required
Telangana,Cotton,Peaty,24.66,82.93,82.17,56.89,16.24
AndhraPradesh,Sugarcane,Peaty,38.61,31.83,59.98,49.92,19.6
Punjab,Wheat,Clay,33.55,56.87,31.08,21.4,20.89
UttarPradesh,Wheat,Sandy,31.87,79.18,34.53,54.49,14.12
Rajasthan,Cotton,Sandy,26.15,63.26,63.06,17.43,22.66
Telangana,Wheat,Sandy,33.73,69.29,88.04,23.93,26.14
UttarPradesh,Maize,Peaty,34.31,63.16,38.03,13.39,23.42
UttarPradesh,Cotton,Loamy,27.69,50.17,17.75,15.58,18.97
Haryana,Groundnut,Clay,20.56,37.78,30.17,43.82,12.42
Karnataka,Rice,Silty,24.6,47.92,23.75,31.73,15.41
Punjab,Groundnut,Sandy,27.18,52.71,61.28,43.37,17.61
TamilNadu,Cotton,Loamy,33.26,63.1,86.86,31.69,24.33
TamilNadu,Sugarcane,Peaty,22.46,89.23,68.29,58.68,13.83
Karnataka,Rice,Clay,30.34,74.21,16.77,24.85,17.81
Gujarat,Cotton,Clay,20.32,50.81,54.47,34.48,16.65
Maharashtra,Sugarcane,Clay,20.59,65.25,81.49,23.97,21.53
Gujarat,Maize,Loamy,39.96,73.9,63.89,58.74,18.63
Karnataka,Wheat,Sandy,23.37,30.63,73.77,25.56,21.28
Gujarat,Rice,Sandy,35.94,74.33,54.54,49.56,18.32
Haryana,Rice,Sandy,21.47,64.06,61.99,26.31,19.38
Maharashtra,Groundnut,Clay,37.62,55.32,72.89,51.03,20.37
TamilNadu,Sugarcane,Clay,21.33,74.95,99.87,50.0,18.39
Karnataka,Sugarcane,Loamy,37.06,32.45,38.27,54.8,15.99
Maharashtra,Groundnut,Clay,35.89,36.32,10.01,30.66,17.64
Karnataka,Pulses,Loamy,39.04,58.02,22.48,20.56,21.85
AndhraPradesh,Maize,Silty,36.94,32.38,80.75,11.09,28.94
Bihar,Pulses,Silty,27.06,89.5,92.65,19.37,25.51
Bihar,Sugarcane,Clay,28.7,46.47,97.18,22.17,25.89
Telangana,Pulses,Loamy,25.59,40.27,42.66,23.89,19.16
Rajasthan,Pulses,Silty,39.27,65.54,11.24,19.2,21.07
TamilNadu,Rice,Clay,32.39,40.64,60.9,54.59,16.89
Karnataka,Cotton,Silty,24.41,51.63,52.23,54.03,13.74
Telangana,Groundnut,Sandy,23.45,87.73,28.5,24.62,16.96
Bihar,Maize,Sandy,33.91,59.02,45.73,25.16,21.71
UttarPradesh,Groundnut,Loamy,36.82,86.44,97.95,49.93,22.86
Gujarat,Groundnut,Peaty,39.69,36.42,95.64,29.52,27.57
Punjab,Maize,Sandy,33.96,58.54,32.11,21.72,21.05
UttarPradesh,Groundnut,Loamy,38.43,56.51,53.72,12.28,26.45
UttarPradesh,Maize,Silty,35.32,65.36,27.39,38.69,17.6
Telangana,Groundnut,Loamy,28.2,57.44,54.69,22.33,21.46
Haryana,Groundnut,Sandy,29.64,74.86,73.5,12.47,25.75
Bihar,Sugarcane,Peaty,30.29,50.09,40.8,24.74,20.22
Punjab,Maize,Sandy,32.28,37.84,41.12,11.46,23.5
Bihar,Sugarcane,Silty,37.9,66.03,38.62,35.5,20.13
MadhyaPradesh,Wheat,Sandy,31.57,45.58,89.15,36.32,23.12
Haryana,Rice,Loamy,21.18,70.71,7.42,27.26,13.64
UttarPradesh,Pulses,Peaty,31.64,63.44,47.44,40.67,18.1
Telangana,Cotton,Clay,38.72,52.25,22.54,43.82,17.11
TamilNadu,Sugarcane,Peaty,24.44,39.79,56.66,27.59,19.48
Haryana,Cotton,Silty,25.33,35.97,29.35,58.81,10.77
Rajasthan,Maize,Silty,25.81,31.62,42.2,25.21,18.92
Karnataka,Cotton,Sandy,35.08,81.91,31.87,51.78,15.35
Haryana,Rice,Clay,35.58,38.18,18.05,26.07,19.27
UttarPradesh,Pulses,Silty,31.68,56.83,57.48,21.04,23.04
AndhraPradesh,Pulses,Sandy,39.54,49.59,89.53,49.59,22.9
Telangana,Rice,Silty,39.21,78.66,95.33,40.77,25.14
AndhraPradesh,Rice,Sandy,36.43,67.71,31.17,47.34,16.58
Karnataka,Rice,Sandy,35.95,79.27,34.32,39.02,18.41
Bihar,Pulses,Sandy,36.21,60.7,42.05,59.29,15.21
Karnataka,Sugarcane,Silty,38.34,70.36,16.7,40.68,17.04
Rajasthan,Maize,Sandy,35.5,67.7,33.55,35.99,18.81
UttarPradesh,Pulses,Sandy,27.83,57.05,14.95,51.62,11.52
Telangana,Wheat,Clay,26.19,65.1,83.57,26.88,22.84
Haryana,Rice,Silty,38.16,41.11,31.43,51.11,16.37
Karnataka,Rice,Sandy,34.45,53.08,90.51,28.69,25.65
Punjab,Groundnut,Peaty,34.34,35.75,52.57,11.8,25.2
Gujarat,Sugarcane,Sandy,39.65,75.02,64.74,49.17,20.54
Haryana,Wheat,Sandy,22.03,44.0,60.4,23.96,19.86
TamilNadu,Cotton,Clay,22.11,48.56,54.02,46.32,14.77
Bihar,Maize,Clay,35.44,82.33,8.79,55.97,12.32
MadhyaPradesh,Maize,Peaty,24.75,86.98,16.84,55.14,10.08
Rajasthan,Wheat,Peaty,35.9,37.69,19.5,52.32,14.26
MadhyaPradesh,Pulses,Silty,37.91,41.59,63.95,23.49,25.07
Maharashtra,Rice,Sandy,31.49,38.66,33.41,38.02,17.18
Rajasthan,Cotton,Silty,27.94,89.9,45.76,11.13,22.73
Punjab,Wheat,Loamy,25.81,43.21,30.8,53.1,12.2
AndhraPradesh,Maize,Peaty,22.03,76.31,56.52,22.24,19.81
Rajasthan,Maize,Sandy,35.49,34.78,64.52,22.3,24.64
Punjab,Groundnut,Peaty,21.07,87.01,76.07,38.91,18.15
Maharashtra,Wheat,Peaty,34.91,77.98,30.27,55.09,14.48
Haryana,Maize,Sandy,29.14,45.95,35.24,21.9,19.89
UttarPradesh,Groundnut,Sandy,27.35,86.91,51.98,26.31,20.14
Maharashtra,Pulses,Sandy,24.5,62.64,39.46,50.03,13.29
Bihar,Pulses,Loamy,27.09,41.63,45.92,53.83,13.95
Punjab,Sugarcane,Sandy,32.59,42.9,47.77,22.09,22.14
Gujarat,Rice,Peaty,38.19,52.34,76.64,42.8,22.56
TamilNadu,Groundnut,Loamy,20.78,43.91,66.78,25.63,19.79
TamilNadu,Maize,Sandy,38.12,36.86,16.41,55.78,13.92
Punjab,Rice,Peaty,28.12,37.65,89.29,39.98,21.37
Karnataka,Wheat,Clay,21.03,54.4,50.25,37.52,15.83
TamilNadu,Groundnut,Peaty,35.48,60.93,46.53,56.77,15.94
Rajasthan,Pulses,Silty,39.2,34.13,45.73,54.57,17.42
TamilNadu,Sugarcane,Silty,21.6,37.55,63.43,17.24,21.38
Maharashtra,Wheat,Clay,26.71,81.27,49.77,13.67,22.26
AndhraPradesh,Groundnut,Silty,26.24,87.48,83.19,38.05,20.58
Haryana,Pulses,Silty,28.89,44.32,89.22,41.06,21.38
Rajasthan,Sugarcane,Silty,28.89,82.23,24.85,34.01,16.35
MadhyaPradesh,Sugarcane,Clay,27.43,69.16,89.14,41.56,20.83
Maharashtra,Cotton,Sandy,23.64,63.74,43.46,44.55,14.53
Maharashtra,Pulses,Sandy,27.48,68.53,88.69,34.5,22.21
Bihar,Rice,Peaty,20.42,31.73,84.9,49.55,16.71
Rajasthan,Cotton,Loamy,36.0,59.81,48.51,36.88,20.27
MadhyaPradesh,Sugarcane,Peaty,33.24,57.17,19.47,19.25,20.07
TamilNadu,Cotton,Sandy,25.04,50.62,87.64,52.34,17.81
Telangana,Cotton,Silty,27.43,60.96,70.49,30.37,21.2
AndhraPradesh,Maize,Peaty,26.67,76.99,45.08,39.36,16.64
Bihar,Groundnut,Loamy,20.89,72.61,53.35,36.08,16.39
MadhyaPradesh,Rice,Peaty,38.14,30.43,50.05,13.38,25.77
Punjab,Rice,Sandy,36.46,35.61,35.42,28.86,20.71
Bihar,Pulses,Silty,31.75,66.13,82.52,26.91,24.4
Maharashtra,Sugarcane,Peaty,26.8,70.04,56.57,10.74,23.55
AndhraPradesh,Wheat,Peaty,39.24,50.34,73.63,54.53,20.23
Rajasthan,Cotton,Loamy,25.82,45.33,74.59,31.32,20.94
Bihar,Wheat,Loamy,20.08,82.71,34.62,55.19,10.45
Gujarat,Pulses,Peaty,39.67,67.26,82.18,52.86,21.55
Maharashtra,Pulses,Loamy,37.28,51.96,71.26,37.94,22.72
Karnataka,Pulses,Loamy,28.56,77.42,53.18,14.07,23.07
Punjab,Maize,Loamy,32.11,59.08,78.67,31.54,23.19
TamilNadu,Maize,Peaty,30.22,33.02,5.56,18.83,17.86
Gujarat,Pulses,Silty,35.19,45.35,73.81,58.28,18.28
Haryana,Groundnut,Peaty,26.01,65.14,56.66,33.07,18.86
Telangana,Rice,Silty,32.41,51.67,36.48,50.47,15.28
TamilNadu,Sugarcane,Silty,27.2,37.13,38.16,40.47,15.88
Rajasthan,Cotton,Sandy,31.24,60.65,52.52,42.2,18.18
AndhraPradesh,Maize,Loamy,22.37,65.21,95.17,29.28,22.37
Telangana,Pulses,Loamy,21.33,59.67,20.2,18.26,16.77
MadhyaPradesh,Wheat,Sandy,27.34,82.2,39.51,39.5,16.25
Gujarat,Pulses,Loamy,25.28,50.9,14.25,19.21,17.17
Karnataka,Wheat,Silty,38.25,41.64,18.71,24.91,20.36
Maharashtra,Groundnut,Silty,32.87,35.93,30.94,41.86,16.58
Punjab,Cotton,Peaty,33.47,31.64,38.55,59.92,13.91
TamilNadu,Cotton,Sandy,20.27,88.45,76.23,23.96,20.91
MadhyaPradesh,Sugarcane,Clay,20.56,57.72,49.83,42.89,14.57
Gujarat,Cotton,Silty,25.22,30.19,88.34,55.67,17.27
MadhyaPradesh,Maize,Clay,20.58,70.98,91.94,44.03,18.56
Haryana,Wheat,Clay,32.14,30.37,40.61,43.73,16.96
Haryana,Rice,Clay,27.38,71.45,11.61,20.38,17.3
Karnataka,Maize,Peaty,35.26,42.53,62.53,42.19,20.39
AndhraPradesh,Pulses,Sandy,22.6,50.02,84.48,41.59,18.91
Punjab,Wheat,Peaty,34.92,30.25,15.56,11.51,21.73
Maharashtra,Groundnut,Peaty,25.93,67.92,99.35,47.46,20.22
UttarPradesh,Cotton,Sandy,20.73,85.16,59.05,29.7,18.18
Maharashtra,Rice,Loamy,36.69,33.13,46.07,57.06,16.2
UttarPradesh,Rice,Silty,38.51,39.29,8.63,47.88,14.84
Telangana,Wheat,Peaty,30.76,52.16,25.26,59.62,11.83
Rajasthan,Sugarcane,Clay,25.51,50.86,90.16,39.54,20.76
AndhraPradesh,Maize,Sandy,37.23,61.87,39.86,50.07,17.14
Rajasthan,Sugarcane,Loamy,33.97,47.53,48.86,22.05,22.67
Haryana,Rice,Sandy,27.0,80.99,71.53,22.41,22.77
Haryana,Maize,Clay,20.65,54.04,77.44,45.29,16.88
Haryana,Pulses,Loamy,32.36,54.61,65.69,54.47,17.38
Telangana,Maize,Peaty,34.78,41.56,70.69,11.02,27.3
Rajasthan,Wheat,Sandy,28.0,31.21,91.63,53.58,18.85
Telangana,Sugarcane,Loamy,23.99,71.61,26.33,52.74,11.28
TamilNadu,Pulses,Clay,32.94,52.85,10.86,55.94,11.78
Maharashtra,Pulses,Sandy,24.77,41.57,42.62,31.83,17.33
Telangana,Pulses,Loamy,39.89,53.76,72.46,22.16,26.78
UttarPradesh,Maize,Loamy,39.82,88.08,74.52,51.05,21.19
AndhraPradesh,Rice,Silty,38.05,52.88,65.95,13.67,27.28
UttarPradesh,Pulses,Sandy,21.18,47.31,31.0,21.73,17.11
Punjab,Pulses,Loamy,36.15,31.02,94.88,20.32,28.27
Maharashtra,Rice,Clay,33.78,52.55,11.28,31.16,17.03
MadhyaPradesh,Groundnut,Peaty,20.42,36.64,81.98,42.43,17.84
Maharashtra,Rice,Loamy,38.9,79.1,23.16,42.71,17.44
TamilNadu,Pulses,Clay,20.3,78.84,9.63,54.24,8.21
Gujarat,Sugarcane,Sandy,32.75,69.12,89.46,20.2,26.73
Telangana,Sugarcane,Loamy,28.61,33.94,85.09,32.93,22.51
Telangana,Groundnut,Sandy,37.36,52.29,45.19,36.26,20.48
Gujarat,Sugarcane,Silty,32.48,66.69,75.74,46.77,19.96
MadhyaPradesh,Maize,Loamy,20.74,35.63,95.88,11.41,25.53
AndhraPradesh,Pulses,Peaty,38.85,70.66,70.71,52.89,20.15
MadhyaPradesh,Groundnut,Peaty,32.72,88.76,98.47,39.86,23.69
Rajasthan,Groundnut,Clay,29.3,66.51,28.89,57.11,12.26
Karnataka,Wheat,Loamy,39.46,80.39,80.53,25.67,26.76
AndhraPradesh,Pulses,Sandy,39.26,74.31,21.5,30.75,19.78
MadhyaPradesh,Maize,Silty,37.89,57.22,79.3,34.07,24.48
MadhyaPradesh,Groundnut,Loamy,37.25,80.0,17.73,18.74,21.2
MadhyaPradesh,Wheat,Silty,25.9,35.64,88.72,25.87,23.47
TamilNadu,Groundnut,Loamy,23.45,35.14,22.14,18.65,17.52
Rajasthan,Pulses,Silty,24.48,72.55,85.13,55.5,16.76
Karnataka,Maize,Clay,22.2,32.65,72.93,22.22,21.51
Karnataka,Rice,Peaty,28.8,69.12,36.64,24.07,19.49
AndhraPradesh,Sugarcane,Loamy,29.38,35.8,88.83,23.65,24.97
Gujarat,Pulses,Silty,23.24,62.42,47.54,27.64,18.2
Bihar,Sugarcane,Silty,39.91,56.12,19.82,11.21,23.71
UttarPradesh,Maize,Loamy,21.83,34.65,60.58,53.06,13.99
Punjab,Rice,Clay,38.91,82.39,11.92,59.5,12.96
UttarPradesh,Groundnut,Loamy,30.86,76.88,88.67,31.76,23.77
Maharashtra,Sugarcane,Clay,34.71,48.52,48.44,11.11,25.04
Gujarat,Pulses,Clay,24.09,52.19,87.12,42.09,19.52
AndhraPradesh,Groundnut,Silty,20.67,69.69,66.93,11.63,22.57
TamilNadu,Maize,Loamy,38.38,85.32,92.67,10.95,30.59
MadhyaPradesh,Wheat,Sandy,39.78,31.29,65.48,25.15,25.45
Rajasthan,Pulses,Sandy,22.95,69.34,65.41,56.97,14.03
Gujarat,Sugarcane,Clay,25.59,45.42,97.21,33.19,22.76
AndhraPradesh,Sugarcane,Sandy,34.23,87.07,73.99,24.64,24.74
Rajasthan,Groundnut,Sandy,38.16,34.19,94.53,56.72,21.56
Punjab,Wheat,Silty,37.84,77.53,48.75,53.24,17.58
Bihar,Rice,Clay,29.57,43.18,57.93,27.44,21.18
MadhyaPradesh,Cotton,Loamy,34.04,64.11,79.3,24.44,25.25
Karnataka,Pulses,Loamy,39.84,30.32,35.46,38.86,19.73
Gujarat,Sugarcane,Loamy,31.56,84.83,55.22,22.94,22.4
AndhraPradesh,Groundnut,Loamy,27.18,63.11,94.68,16.97,26.23
Bihar,Wheat,Peaty,22.95,75.78,11.32,31.07,13.8
TamilNadu,Rice,Loamy,24.2,86.76,48.9,32.61,17.63
Gujarat,Cotton,Loamy,35.63,69.68,24.96,28.21,19.54
MadhyaPradesh,Maize,Sandy,39.94,78.11,97.73,37.02,26.35
UttarPradesh,Groundnut,Silty,33.08,79.2,63.5,40.31,20.21
Bihar,Sugarcane,Peaty,36.23,37.42,15.89,54.39,13.58
Gujarat,Cotton,Clay,36.37,82.5,17.15,35.15,17.6
Gujarat,Wheat,Silty,34.78,65.56,52.32,33.12,21.04
TamilNadu,Pulses,Loamy,31.72,39.07,8.16,40.41,14.25
TamilNadu,Groundnut,Clay,26.83,76.9,65.18,42.24,18.12
Haryana,Pulses,Clay,24.12,53.96,98.67,18.91,25.32
MadhyaPradesh,Cotton,Peaty,34.09,53.27,68.89,39.64,21.19
AndhraPradesh,Pulses,Peaty,26.29,53.37,71.56,17.04,23.63
TamilNadu,Rice,Sandy,33.18,38.41,66.83,42.27,20.18
Rajasthan,Wheat,Sandy,28.23,80.61,86.61,54.52,18.23
Gujarat,Maize,Peaty,21.89,63.99,96.47,35.8,21.05
UttarPradesh,Maize,Sandy,31.51,62.49,14.37,30.01,16.89
TamilNadu,Wheat,Loamy,38.56,33.14,98.72,14.51,30.54
TamilNadu,Rice,Silty,21.71,75.89,78.85,53.05,15.79
UttarPradesh,Sugarcane,Clay,39.2,67.09,67.87,51.44,20.26
Punjab,Wheat,Clay,24.83,37.64,26.64,17.6,18.59
Maharashtra,Wheat,Sandy,33.47,42.94,20.85,10.45,22.04
MadhyaPradesh,Wheat,Loamy,28.62,78.04,65.4,34.03,20.32
Rajasthan,Maize,Sandy,36.22,39.02,10.6,16.38,20.65
Bihar,Groundnut,Silty,29.33,58.35,91.73,47.4,20.49
Bihar,Rice,Loamy,37.72,85.4,70.47,58.33,18.7
Punjab,Maize,Sandy,39.49,80.33,78.74,20.2,27.68
UttarPradesh,Maize,Peaty,30.72,85.7,8.33,10.93,19.86
Telangana,Maize,Sandy,35.92,63.87,30.62,42.06,17.43
Karnataka,Maize,Sandy,33.66,87.83,27.03,55.99,13.6
Rajasthan,Rice,Silty,25.57,79.78,82.41,54.78,16.96
Haryana,Maize,Peaty,24.98,64.18,68.85,35.61,19.26
Karnataka,Pulses,Sandy,24.19,59.34,25.76,38.73,14.09
UttarPradesh,Sugarcane,Loamy,21.53,70.25,72.22,14.77,22.73
TamilNadu,Wheat,Sandy,23.08,71.45,28.21,52.34,11.28
Haryana,Wheat,Sandy,30.78,48.56,15.55,22.84,18.22
Punjab,Wheat,Loamy,36.57,58.7,19.1,13.67,22.15
TamilNadu,Wheat,Clay,30.12,33.89,72.78,44.98,19.32
Karnataka,Maize,Loamy,24.82,81.34,80.38,22.96,22.89
Haryana,Sugarcane,Peaty,36.93,85.16,53.48,22.27,23.97
UttarPradesh,Groundnut,Silty,20.64,61.24,83.18,19.56,22.6
Bihar,Wheat,Loamy,23.75,77.58,81.87,54.89,16.33
MadhyaPradesh,Sugarcane,Loamy,39.32,40.59,92.19,31.68,26.68
UttarPradesh,Rice,Peaty,25.36,42.29,43.49,49.7,14.02
Punjab,Wheat,Silty,26.51,41.72,12.72,34.45,14.34
Karnataka,Maize,Sandy,22.46,51.45,12.62,31.19,13.76
Karnataka,Maize,Silty,33.27,34.14,78.37,23.54,25.11
Punjab,Groundnut,Peaty,38.81,61.26,83.2,54.83,21.0
Punjab,Sugarcane,Sandy,38.79,76.23,87.45,49.78,22.43
TamilNadu,Rice,Clay,39.16,81.78,82.59,34.32,25.14
MadhyaPradesh,Cotton,Clay,37.0,82.01,13.04,22.71,19.86
AndhraPradesh,Sugarcane,Clay,23.67,34.06,59.36,27.03,19.63
Karnataka,Cotton,Loamy,20.61,52.96,53.34,30.92,17.33
Bihar,Wheat,Silty,29.11,42.25,8.16,14.55,18.64
Punjab,Rice,Sandy,21.49,54.71,11.2,57.28,8.11
Rajasthan,Maize,Loamy,37.25,81.19,68.56,53.88,19.25
MadhyaPradesh,Pulses,Sandy,36.29,35.56,52.4,56.74,16.78
AndhraPradesh,Pulses,Peaty,22.11,71.35,36.56,24.43,17.4
TamilNadu,Wheat,Clay,32.25,54.94,95.27,20.29,27.14
Gujarat,Maize,Clay,38.24,74.71,10.92,39.6,16.64
Maharashtra,Cotton,Silty,22.61,70.27,84.27,28.48,21.51
Gujarat,Sugarcane,Clay,36.62,65.98,17.61,16.17,21.51
UttarPradesh,Groundnut,Sandy,36.32,38.73,62.32,52.57,18.61
TamilNadu,Wheat,Loamy,30.21,33.98,33.81,26.03,19.24
UttarPradesh,Sugarcane,Peaty,28.38,33.8,17.13,52.41,11.75
Rajasthan,Rice,Silty,21.91,39.46,92.51,38.52,20.12
Telangana,Rice,Sandy,24.55,58.74,31.05,25.3,17.41
Karnataka,Rice,Silty,23.32,42.51,10.29,19.43,16.14
Telangana,Groundnut,Clay,32.13,45.34,35.92,51.47,14.94
Haryana,Maize,Clay,26.23,77.88,26.83,30.21,16.51
Telangana,Wheat,Clay,31.02,75.11,63.56,45.3,18.6
UttarPradesh,Wheat,Sandy,36.41,84.85,21.97,11.02,22.92
Telangana,Rice,Loamy,32.09,58.5,88.86,26.06,25.3
Telangana,Wheat,Silty,25.64,50.4,81.43,16.56,24.52
TamilNadu,Pulses,Silty,31.16,86.85,80.61,47.66,19.88
UttarPradesh,Cotton,Silty,31.93,83.01,57.74,27.1,21.93
Haryana,Groundnut,Sandy,20.59,43.79,14.64,19.65,15.71
Rajasthan,Sugarcane,Sandy,31.35,78.57,50.59,46.01,17.26
Rajasthan,Rice,Loamy,34.41,87.61,92.85,26.1,26.39
Telangana,Rice,Peaty,35.63,61.35,24.01,29.39,19.21
MadhyaPradesh,Pulses,Loamy,29.93,42.86,14.14,42.56,13.88
Maharashtra,Rice,Silty,36.81,53.06,91.55,38.51,24.5
Karnataka,Groundnut,Silty,33.18,68.6,83.72,22.24,25.88
Haryana,Pulses,Silty,30.12,72.48,91.81,47.61,20.7
Karnataka,Cotton,Loamy,33.14,45.08,34.11,13.15,22.72
Haryana,Pulses,Clay,39.45,89.26,76.92,21.37,27.25
MadhyaPradesh,Wheat,Sandy,22.0,53.91,34.62,58.94,10.27
Haryana,Maize,Silty,25.97,58.5,45.44,47.28,14.88
MadhyaPradesh,Maize,Clay,36.13,87.48,71.84,11.19,27.79
Karnataka,Wheat,Sandy,33.07,36.86,33.9,26.62,19.99
Gujarat,Maize,Sandy,36.31,41.14,94.68,37.42,24.88
AndhraPradesh,Groundnut,Clay,32.48,67.08,59.69,26.49,22.41
MadhyaPradesh,Pulses,Loamy,26.74,50.53,98.22,23.58,25.13
Telangana,Rice,Sandy,25.1,67.7,51.3,56.09,13.44
Punjab,Maize,Clay,39.7,39.05,6.66,20.89,20.4
TamilNadu,Pulses,Clay,30.43,64.49,58.04,22.08,22.52
Maharashtra,Wheat,Silty,28.31,81.9,15.18,57.75,10.46
Maharashtra,Groundnut,Sandy,25.34,57.83,46.16,42.87,15.64
MadhyaPradesh,Cotton,Sandy,34.29,80.94,82.22,17.1,27.09
Telangana,Pulses,Clay,22.23,41.46,36.71,34.88,15.36
Bihar,Wheat,Silty,33.77,50.65,5.87,30.11,16.7
AndhraPradesh,Cotton,Peaty,37.36,81.43,43.84,32.37,21.12
Rajasthan,Wheat,Clay,26.98,40.5,80.12,27.58,22.59
AndhraPradesh,Groundnut,Silty,25.87,33.41,14.93,45.44,12.17
MadhyaPradesh,Maize,Clay,22.9,63.07,86.59,16.55,24.22
Bihar,Wheat,Loamy,25.56,71.04,36.54,58.28,11.67
Rajasthan,Cotton,Peaty,30.76,76.23,62.78,20.56,23.39
MadhyaPradesh,Maize,Silty,28.68,83.59,93.61,17.79,26.41
Maharashtra,Maize,Sandy,27.52,87.55,18.67,35.73,14.98
Maharashtra,Maize,Peaty,38.54,31.74,27.75,23.13,21.71
Maharashtra,Cotton,Clay,28.99,38.66,82.39,18.72,25.19
Haryana,Rice,Peaty,23.83,87.14,10.35,47.3,10.72
Karnataka,Groundnut,Silty,28.7,40.72,86.19,54.42,18.34
MadhyaPradesh,Sugarcane,Loamy,39.49,49.96,45.93,52.55,17.93
Maharashtra,Rice,Peaty,32.8,87.38,68.74,40.8,20.55
TamilNadu,Sugarcane,Loamy,23.31,58.59,73.41,12.02,23.93
TamilNadu,Pulses,Sandy,32.65,72.45,18.31,40.92,15.44
MadhyaPradesh,Sugarcane,Sandy,37.04,89.81,33.29,11.39,24.16
Rajasthan,Maize,Silty,22.61,54.4,47.73,26.35,18.29
Haryana,Pulses,Loamy,36.95,37.16,66.86,57.8,18.21
UttarPradesh,Groundnut,Silty,27.46,88.85,50.67,57.93,13.72
Telangana,Sugarcane,Sandy,34.05,41.61,97.97,24.24,27.16
MadhyaPradesh,Pulses,Clay,20.67,77.81,82.5,45.35,17.38
Punjab,Rice,Sandy,29.52,53.05,42.34,46.77,15.74
Rajasthan,Pulses,Loamy,35.24,64.16,95.47,26.76,26.77
Rajasthan,Wheat,Sandy,30.41,73.46,99.02,37.97,23.43
Bihar,Wheat,Peaty,38.63,46.94,50.62,59.69,16.71
Haryana,Maize,Silty,21.77,46.36,95.71,17.27,24.65
Punjab,Groundnut,Silty,32.2,51.61,5.5,36.1,14.99
Rajasthan,Wheat,Loamy,31.98,59.46,17.93,20.57,19.27
Punjab,Wheat,Clay,29.65,76.7,45.04,49.55,15.49
Bihar,Maize,Clay,25.97,51.6,45.48,40.4,16.26
MadhyaPradesh,Pulses,Loamy,28.18,80.38,26.72,39.9,15.15
AndhraPradesh,Maize,Sandy,27.84,89.3,58.05,41.48,17.86
MadhyaPradesh,Pulses,Peaty,26.95,63.33,93.68,20.46,25.36
TamilNadu,Rice,Peaty,33.08,61.21,34.95,26.12,20.2
Telangana,Wheat,Sandy,32.39,69.84,51.45,54.56,15.95
Haryana,Maize,Clay,34.71,85.3,87.81,24.27,26.34
Karnataka,Sugarcane,Clay,20.28,51.55,70.75,18.02,21.55
Haryana,Cotton,Sandy,31.21,63.39,85.98,12.47,27.47
TamilNadu,Sugarcane,Silty,28.85,48.52,91.21,18.67,26.04
Rajasthan,Cotton,Clay,37.51,30.9,98.22,23.9,28.3
MadhyaPradesh,Maize,Silty,23.79,88.27,82.77,18.99,23.62
TamilNadu,Pulses,Silty,39.16,36.87,39.72,55.5,16.62
Karnataka,Wheat,Clay,29.94,52.12,96.07,40.86,22.42
TamilNadu,Cotton,Loamy,30.41,55.31,60.24,42.04,18.74
Haryana,Wheat,Loamy,24.4,42.93,65.88,53.74,15.16
MadhyaPradesh,Groundnut,Clay,32.48,84.69,64.5,24.64,23.27
MadhyaPradesh,Wheat,Peaty,33.12,54.38,15.21,12.62,20.93
Gujarat,Maize,Sandy,20.4,59.02,54.36,34.76,16.6
Rajasthan,Sugarcane,Loamy,21.9,83.17,22.48,58.46,9.13
Rajasthan,Pulses,Sandy,38.38,78.92,6.35,15.4,21.07
